"Date" "administration" "approval" "lagApproval" "unrate" "inflation" "kennedy" "johnson" "nixon" "ford" "carter" "regan" "bush" "clinton" "eisenhower" "inflationMonthly"
1953.01 1 78 31 2.9 0.376648279547709 0 0 0 0 0 0 0 0 1 -0.375234961855009
1953.02 1 67 78 2.6 0.754720563538314 0 0 0 0 0 0 0 0 1 0
1953.03 1 74 67 2.6 0.754720563538314 0 0 0 0 0 0 0 0 1 0
1953.04 1 74 74 2.7 0.751883241402718 0 0 0 0 0 0 0 0 1 0.375234961855009
1953.05 1 74 74 2.5 0.751883241402718 0 0 0 0 0 0 0 0 1 0
1953.06 1 71 74 2.5 1.12571545246345 0 0 0 0 0 0 0 0 1 0.373832211060732
1953.07 1 73 71 2.6 0.373832211060732 0 0 0 0 0 0 0 0 1 0
1953.08 1 74 73 2.7 0.746272120158942 0 0 0 0 0 0 0 0 1 0.37243990909821
1953.09 1 75 74 2.9 1.12150708201395 0 0 0 0 0 0 0 0 1 0
1953.1 1 66 75 3.1 1.11733005981254 0 0 0 0 0 0 0 0 1 0.371057939653596
1953.11 1 58 66 3.5 0.746272120158942 0 0 0 0 0 0 0 0 1 -0.371057939653596
1953.12 1 66 58 4.5 0.746272120158942 0 0 0 0 0 0 0 0 1 0
1954.01 1 70 66 4.9 1.12150708201395 0 0 0 0 0 0 0 0 1 0
1954.02 1 68 70 5.2 1.49256502166755 0 0 0 0 0 0 0 0 1 0.371057939653596
1954.03 1 65 68 5.7 1.12150708201395 0 0 0 0 0 0 0 0 1 -0.371057939653596
1954.04 1 68 65 5.9 0.746272120158942 0 0 0 0 0 0 0 0 1 0
1954.05 1 61 68 5.9 0.746272120158942 0 0 0 0 0 0 0 0 1 0
1954.06 1 62 61 5.6 0.37243990909821 0 0 0 0 0 0 0 0 1 0
1954.07 1 75 62 5.8 0.37243990909821 0 0 0 0 0 0 0 0 1 0
1954.08 1 62 75 6 0 0 0 0 0 0 0 0 0 1 0
1954.09 1 66 62 6.1 -0.37243990909821 0 0 0 0 0 0 0 0 1 -0.37243990909821
1954.1 1 61 66 5.7 -1.11733005981254 0 0 0 0 0 0 0 0 1 -0.373832211060732
1954.11 1 57 61 5.3 -0.37243990909821 0 0 0 0 0 0 0 0 1 0.373832211060732
1954.12 1 68 57 5 -0.37243990909821 0 0 0 0 0 0 0 0 1 0
1955.01 1 70 68 4.9 -0.37243990909821 0 0 0 0 0 0 0 0 1 0
1955.02 1 71 70 4.7 -0.743497848751806 0 0 0 0 0 0 0 0 1 0
1955.03 1 66 71 4.6 -0.37243990909821 0 0 0 0 0 0 0 0 1 0
1955.04 1 68 66 4.7 -0.37243990909821 0 0 0 0 0 0 0 0 1 0
1955.05 1 69 68 4.3 -0.37243990909821 0 0 0 0 0 0 0 0 1 0
1955.06 1 70 69 4.2 -0.746272120158942 0 0 0 0 0 0 0 0 1 -0.373832211060732
1955.07 1 72 70 4 -0.37243990909821 0 0 0 0 0 0 0 0 1 0.373832211060732
1955.08 1 76 72 4.2 -0.746272120158942 0 0 0 0 0 0 0 0 1 -0.373832211060732
1955.09 1 71 76 4.1 0.37243990909821 0 0 0 0 0 0 0 0 1 0.746272120158942
1955.1 1 74 71 4.3 0.373832211060732 0 0 0 0 0 0 0 0 1 -0.37243990909821
1955.11 1 77 74 4.2 0.37243990909821 0 0 0 0 0 0 0 0 1 0.37243990909821
1955.12 1 75 77 4.2 0.37243990909821 0 0 0 0 0 0 0 0 1 0
1956.01 1 77 75 4 0 0 0 0 0 0 0 0 0 1 -0.37243990909821
1956.02 1 76 77 3.9 0.37243990909821 0 0 0 0 0 0 0 0 1 0.37243990909821
1956.03 1 73 76 4.2 0.37243990909821 0 0 0 0 0 0 0 0 1 0
1956.04 1 69 73 4 0.37243990909821 0 0 0 0 0 0 0 0 1 0
1956.05 1 69 69 4.3 0.743497848751806 0 0 0 0 0 0 0 0 1 0.371057939653596
1956.06 1 69 69 4.3 1.85534078957477 0 0 0 0 0 0 0 0 1 0.738010729762228
1956.07 1 69 69 4.4 1.84848146741032 0 0 0 0 0 0 0 0 1 0.366972888896289
1956.08 1 67 69 4.1 2.22231367847106 0 0 0 0 0 0 0 0 1 0
1956.09 1 69 67 3.9 1.84167267862314 0 0 0 0 0 0 0 0 1 0.365631120311027
1956.1 1 72 69 3.9 2.57841171557147 0 0 0 0 0 0 0 0 1 0.364299127850121
1956.11 1 75 72 4.3 2.20597180647326 0 0 0 0 0 0 0 0 1 0
1956.12 1 79 75 4.2 2.56894861153114 0 0 0 0 0 0 0 0 1 0.362976805057880
1957.01 1 73 79 4.2 3.30305256764816 0 0 0 0 0 0 0 0 1 0.361664047018806
1957.02 1 72 73 3.9 3.29097340887983 0 0 0 0 0 0 0 0 1 0.36036075032988
1957.03 1 72 72 3.7 3.65004022195268 0 0 0 0 0 0 0 0 1 0.35906681307285
1957.04 1 67 72 3.9 3.65004022195268 0 0 0 0 0 0 0 0 1 0
1957.05 1 62 67 4.1 3.63676441708747 0 0 0 0 0 0 0 0 1 0.357782134788387
1957.06 1 62 62 4.3 3.25526030377485 0 0 0 0 0 0 0 0 1 0.356506616449614
1957.07 1 63 62 4.2 3.24352757531536 0 0 0 0 0 0 0 0 1 0.355240160436798
1957.08 1 59 63 4.1 3.59751024582775 0 0 0 0 0 0 0 0 1 0.353982670512387
1957.09 1 59 59 4.4 3.23187912551672 0 0 0 0 0 0 0 0 1 0
1957.1 1 57 59 4.5 2.8675799976666 0 0 0 0 0 0 0 0 1 0
1957.11 1 58 57 5.1 3.22031404946346 0 0 0 0 0 0 0 0 1 0.352734051796855
1957.12 1 60 58 5.2 3.20883145515003 0 0 0 0 0 0 0 0 1 0.351494210744452
1958.01 1 58 60 5.8 3.19743046325143 0 0 0 0 0 0 0 0 1 0.350263055120204
1958.02 1 54 58 6.4 3.18611020689841 0 0 0 0 0 0 0 0 1 0.34904049397686
1958.03 1 48 54 6.7 3.52149062910665 0 0 0 0 0 0 0 0 1 0.694447235281093
1958.04 1 54 48 7.4 3.52149062910665 0 0 0 0 0 0 0 0 1 0
1958.05 1 53 54 7.4 3.16370849431826 0 0 0 0 0 0 0 0 1 0
1958.06 1 54 53 7.3 2.80720187786865 0 0 0 0 0 0 0 0 1 0
1958.07 1 58 54 7.5 2.45196171743185 0 0 0 0 0 0 0 0 1 0
1958.08 1 56 58 7.4 2.09797904691946 0 0 0 0 0 0 0 0 1 0
1958.09 1 56 56 7.1 2.09797904691946 0 0 0 0 0 0 0 0 1 0
1958.1 1 58 56 6.7 2.09797904691946 0 0 0 0 0 0 0 0 1 0
1958.11 1 52 58 6.2 2.09066848193138 0 0 0 0 0 0 0 0 1 0.345423486808771
1958.12 1 57 52 6.2 1.73917427118693 0 0 0 0 0 0 0 0 1 0
1959.01 1 57 57 6 1.38891121606672 0 0 0 0 0 0 0 0 1 0
1959.02 1 59 57 5.9 1.03987072208986 0 0 0 0 0 0 0 0 1 0
1959.03 1 58 59 5.6 0.345423486808771 0 0 0 0 0 0 0 0 1 0
1959.04 1 60 58 5.2 0.345423486808771 0 0 0 0 0 0 0 0 1 0
1959.05 1 64 60 5.1 0.345423486808771 0 0 0 0 0 0 0 0 1 0
1959.06 1 60 64 5 0.689657905906049 0 0 0 0 0 0 0 0 1 0.344234419097278
1959.07 1 61 60 5.1 1.03271141558494 0 0 0 0 0 0 0 0 1 0.343053509678892
1959.08 1 66 61 5.2 1.03271141558494 0 0 0 0 0 0 0 0 1 0
1959.09 1 66 66 5.5 1.37459209046353 0 0 0 0 0 0 0 0 1 0.341880674878592
1959.1 1 66 66 5.7 1.71530792262495 0 0 0 0 0 0 0 0 1 0.34071583216142
1959.11 1 64 66 5.8 1.36988443581618 0 0 0 0 0 0 0 0 1 0
1959.12 1 76 64 5.3 1.36988443581618 0 0 0 0 0 0 0 0 1 0
1960.01 1 66 76 5.2 1.36988443581618 0 0 0 0 0 0 0 0 1 0
1960.02 1 64 66 4.8 1.36988443581618 0 0 0 0 0 0 0 0 1 0
1960.03 1 65 64 5.4 1.36988443581618 0 0 0 0 0 0 0 0 1 0
1960.04 1 62 65 5.2 1.70944333593002 0 0 0 0 0 0 0 0 1 0.339558900113834
