YEAR, MONTH, NAIRU

1955 1 3.8166694956
1955 2 3.9599821655
1955 3 4.097391192
1955 4 4.2290368948
1955 5 4.3550575704
1955 6 4.4755895089
1955 7 4.5907670113
1955 8 4.700722406
1955 9 4.8055860654
1955 10 4.905486423
1955 11 5.0005499897
1955 12 5.0909013705
1956 1 5.1766632808
1956 2 5.2579565631
1956 3 5.3349002032
1956 4 5.4076113463
1956 5 5.4762053137
1956 6 5.5407956184
1956 7 5.6014939818
1956 8 5.6584103491
1956 9 5.7116529057
1956 10 5.7613280932
1956 11 5.8075406248
1956 12 5.8503935012
1957 1 5.8899880268
1957 2 5.9264238247
1957 3 5.9597988526
1957 4 5.9902094182
1957 5 6.0177501948
1957 6 6.0425142368
1957 7 6.0645929944
1957 8 6.0840763297
1957 9 6.1010525312
1957 10 6.1156083296
1957 11 6.127828912
1957 12 6.1377979377
1958 1 6.1455975529
1958 2 6.1513084053
1958 3 6.1550096593
1958 4 6.1567790103
1958 5 6.1566926999
1958 6 6.1548255302
1958 7 6.1512508784
1958 8 6.1460407111
1958 9 6.1392655993
1958 10 6.130994732
1958 11 6.1212959311
1958 12 6.1102356654
1959 1 6.0978790647
1959 2 6.0842899338
1959 3 6.0695307671
1959 4 6.0536627618
1959 5 6.0367458325
1959 6 6.0188386243
1959 7 5.9999985275
1959 8 5.9802816903
1959 9 5.9597430335
1959 10 5.9384362632
1959 11 5.9164138846
1959 12 5.8937272159
1960 1 5.870426401
1960 2 5.8465604232
1960 3 5.8221771185
1960 4 5.7973231886
1960 5 5.7720442143
1960 6 5.7463846682
1960 7 5.720387928
1960 8 5.6940962895
1960 9 5.6675509791
1960 10 5.6407921669
1960 11 5.6138589796
1960 12 5.5867895126
1961 1 5.5596208432
1961 2 5.5323890431
1961 3 5.5051291904
1961 4 5.4778753827
1961 5 5.4506607487
1961 6 5.4235174613
1961 7 5.3964767492
1961 8 5.3695689096
1961 9 5.3428233196
1961 10 5.316268449
1961 11 5.2899318717
1961 12 5.2638402781
1962 1 5.2380194863
1962 2 5.2124944547
1962 3 5.1872892929
1962 4 5.1624272739
1962 5 5.1379308456
1962 6 5.113821642
1962 7 5.0901204951
1962 8 5.066847446
1962 9 5.0440217563
1962 10 5.0216619195
1962 11 4.999785672
1962 12 4.9784100043
1963 1 4.957551172
1963 2 4.9372247073
1963 3 4.9174454289
1963 4 4.8982274542
1963 5 4.8795842089
1963 6 4.8615284385
1963 7 4.8440722189
1963 8 4.8272269666
1963 9 4.8110034497
1963 10 4.7954117983
1963 11 4.7804615147
1963 12 4.766161484
1964 1 4.7525199844
1964 2 4.7395446972
1964 3 4.7272427173
1964 4 4.7156205629
1964 5 4.704684186
1964 6 4.694438982
1964 7 4.6848897998
1964 8 4.6760409517
1964 9 4.6678962229
1964 10 4.6604588815
1964 11 4.6537316881
1964 12 4.6477169053
1965 1 4.6424163073
1965 2 4.6378311892
1965 3 4.6339623768
1965 4 4.6308102353
1965 5 4.6283746793
1965 6 4.6266551813
1965 7 4.6256507814
1965 8 4.6253600961
1965 9 4.6257813272
1965 10 4.6269122711
1965 11 4.6287503272
1965 12 4.6312925074
1966 1 4.6345354441
1966 2 4.6384753993
1966 3 4.6431082732
1966 4 4.6484296127
1966 5 4.6544346199
1966 6 4.6611181605
1966 7 4.6684747723
1966 8 4.6764986732
1966 9 4.6851837699
1966 10 4.6945236656
1966 11 4.7045116683
1966 12 4.715140799
1967 1 4.7264037994
1967 2 4.73829314
1967 3 4.7508010278
1967 4 4.7639194145
1967 5 4.7776400035
1967 6 4.7919542581
1967 7 4.806853409
1967 8 4.8223284618
1967 9 4.8383702043
1967 10 4.8549692141
1967 11 4.8721158659
1967 12 4.8898003387
1968 1 4.908012623
1968 2 4.9267425281
1968 3 4.9459796889
1968 4 4.9657135731
1968 5 4.9859334884
1968 6 5.0066285886
1968 7 5.0277878813
1968 8 5.0494002341
1968 9 5.0714543814
1968 10 5.0939389314
1968 11 5.116842372
1968 12 5.1401530777
1969 1 5.163859316
1969 2 5.1879492539
1969 3 5.2124109639
1969 4 5.2372324302
1969 5 5.2624015553
1969 6 5.2879061658
1969 7 5.3137340185
1969 8 5.3398728064
1969 9 5.3663101644
1969 10 5.3930336756
1969 11 5.4200308768
1969 12 5.4472892641
1970 1 5.4747962989
1970 2 5.5025394133
1970 3 5.5305060154
1970 4 5.5586834953
1970 5 5.58705923
1970 6 5.615620589
1970 7 5.6443549397
1970 8 5.6732496521
1970 9 5.7022921044
1970 10 5.731469688
1970 11 5.7607698124
1970 12 5.7901799101
1971 1 5.8196874418
1971 2 5.8492799008
1971 3 5.8789448181
1971 4 5.9086697668
1971 5 5.9384423671
1971 6 5.9682502904
1971 7 5.9980812642
1971 8 6.0279230764
1971 9 6.0577635794
1971 10 6.0875906949
1971 11 6.1173924178
1971 12 6.1471568205
1972 1 6.1768720568
1972 2 6.2065263663
1972 3 6.2361080782
1972 4 6.265605615
1972 5 6.295007497
1972 6 6.3243023452
1972 7 6.3534788857
1972 8 6.3825259532
1972 9 6.4114324944
1972 10 6.4401875717
1972 11 6.4687803668
1972 12 6.4972001838
1973 1 6.5254364527
1973 2 6.5534787326
1973 3 6.581316715
1973 4 6.608940227
1973 5 6.6363392341
1973 6 6.6635038436
1973 7 6.6904243072
1973 8 6.7170910242
1973 9 6.7434945439
1973 10 6.7696255689
1973 11 6.7954749573
1973 12 6.8210337257
1974 1 6.8462930516
1974 2 6.8712442757
1974 3 6.8958789047
1974 4 6.9201886136
1974 5 6.9441652477
1974 6 6.9678008253
1974 7 6.9910875394
1974 8 7.0140177603
1974 9 7.0365840371
1974 10 7.0587791003
1974 11 7.0805958631
1974 12 7.1020274239
1975 1 7.1230670675
1975 2 7.1437082671
1975 3 7.163944686
1975 4 7.1837701792
1975 5 7.2031787948
1975 6 7.2221647755
1975 7 7.2407225601
1975 8 7.2588467847
1975 9 7.2765322843
1975 10 7.2937740935
1975 11 7.310567448
1975 12 7.3269077856
1976 1 7.3427907474
1976 2 7.3582121782
1976 3 7.3731681282
1976 4 7.3876548529
1976 5 7.4016688149
1976 6 7.4152066835
1976 7 7.4282653361
1976 8 7.4408418588
1976 9 7.4529335461
1976 10 7.4645379024
1976 11 7.4756526415
1976 12 7.4862756873
1977 1 7.4964051742
1977 2 7.506039447
1977 3 7.5151770609
1977 4 7.523816782
1977 5 7.531957587
1977 6 7.5395986631
1977 7 7.5467394078
1977 8 7.553379429
1977 9 7.5595185446
1977 10 7.5651567817
1977 11 7.5702943771
1977 12 7.574931776
1978 1 7.579069632
1978 2 7.5827088062
1978 3 7.5858503667
1978 4 7.5884955878
1978 5 7.5906459493
1978 6 7.5923031356
1978 7 7.5934690347
1978 8 7.5941457374
1978 9 7.5943355361
1978 10 7.5940409238
1978 11 7.5932645927
1978 12 7.5920094334
1979 1 7.5902785332
1979 2 7.5880751748
1979 3 7.5854028351
1979 4 7.5822651833
1979 5 7.5786660799
1979 6 7.5746095745
1979 7 7.5700999044
1979 8 7.5651414929
1979 9 7.5597389474
1979 10 7.5538970573
1979 11 7.5476207927
1979 12 7.5409153014
1980 1 7.5337859079
1980 2 7.5262381103
1980 3 7.5182775789
1980 4 7.5099101533
1980 5 7.5011418405
1980 6 7.4919788121
1980 7 7.4824274024
1980 8 7.4724941054
1980 9 7.4621855721
1980 10 7.4515086086
1980 11 7.4404701724
1980 12 7.4290773703
1981 1 7.4173374554
1981 2 7.4052578241
1981 3 7.392846013
1981 4 7.3801096962
1981 5 7.3670566818
1981 6 7.3536949092
1981 7 7.3400324454
1981 8 7.3260774819
