"date" "nairu" "unemployment" "gap" "inflation" "FedFunds"
"1955-08-01" 4.633972  4.2  0.4339716688 -0.7462721  1.96
"1955-09-01" 4.678256  4.1  0.5782559229  0.3724399  2.18
"1955-10-01" 4.722828  4.3  0.4228276616  0.3738322  2.24
"1955-11-01" 4.767577  4.2  0.5675765884  0.3724399  2.35
"1955-12-01" 4.812397  4.2  0.6123974343  0.3724399  2.48
"1956-01-01" 4.857190  4.0  0.8571898353  0.0000000  2.45
"1956-02-01" 4.901858  3.9  1.0018582110  0.3724399  2.50
"1956-03-01" 4.946312  4.2  0.7463116458  0.3724399  2.50
"1956-04-01" 4.990464  4.0  0.9904637721  0.3724399  2.62
"1956-05-01" 5.034233  4.3  0.7342326539  0.7434978  2.75
"1956-06-01" 5.077541  4.3  0.7775406738  1.8553408  2.71
"1956-07-01" 5.120314  4.4  0.7203144209  1.8484815  2.75
"1956-08-01" 5.162485  4.1  1.0624845801  2.2223137  2.73
"1956-09-01" 5.203986  3.9  1.3039858242  1.8416727  2.95
"1956-10-01" 5.244757  3.9  1.3447567064  2.5784117  2.96
"1956-11-01" 5.284740  4.3  0.9847395555  2.2059718  2.88
"1956-12-01" 5.323880  4.2  1.1238803724  2.5689486  2.94
"1957-01-01" 5.362129  4.2  1.1621287279  3.3030526  2.84
"1957-02-01" 5.399438  3.9  1.4994376629  3.2909734  3.00
"1957-03-01" 5.435764  3.7  1.7357635895  3.6500402  2.96
"1957-04-01" 5.471066  3.9  1.5710661939  3.6500402  3.00
"1957-05-01" 5.505308  4.1  1.4053083414  3.6367644  3.00
"1957-06-01" 5.538456  4.3  1.2384559819  3.2552603  3.00
"1957-07-01" 5.570478  4.2  1.3704780584  3.2435276  2.99
"1957-08-01" 5.601346  4.1  1.5013464157  3.5975102  3.24
"1957-09-01" 5.631036  4.4  1.2310357111  3.2318791  3.47
"1957-10-01" 5.659523  4.5  1.1595233273  2.8675800  3.50
"1957-11-01" 5.686789  5.1  0.5867892857  3.2203140  3.28
"1957-12-01" 5.712816  5.2  0.5128161617  3.2088315  2.98
"1958-01-01" 5.737589  5.8 -0.0624109983  3.1974305  2.72
"1958-02-01" 5.761095  6.4 -0.6389047586  3.1861102  1.67
"1958-03-01" 5.783325  6.7 -0.9166753750  3.5214906  1.20
"1958-04-01" 5.804269  7.4 -1.5957308732  3.5214906  1.26
"1958-05-01" 5.823923  7.4 -1.5760771266  3.1637085  0.63
"1958-06-01" 5.842282  7.3 -1.4577179322  2.8072019  0.93
"1958-07-01" 5.859345  7.5 -1.6406550855  2.4519617  0.68
"1958-08-01" 5.875112  7.4 -1.5248884536  2.0979790  1.53
"1958-09-01" 5.889584  7.1 -1.2104160471  2.0979790  1.76
"1958-10-01" 5.902766  6.7 -0.7972340912  2.0979790  1.80
"1958-11-01" 5.914663  6.2 -0.2853370944  2.0906685  2.27
"1958-12-01" 5.925282  6.2 -0.2747179168  1.7391743  2.42
"1959-01-01" 5.934632  6.0 -0.0653678366  1.3889112  2.48
"1959-02-01" 5.942723  5.9  0.0427233844  1.0398707  2.43
"1959-03-01" 5.949567  5.6  0.3495674369  0.3454235  2.80
"1959-04-01" 5.955177  5.2  0.7551774010  0.3454235  2.96
"1959-05-01" 5.959568  5.1  0.8595676850  0.3454235  2.90
"1959-06-01" 5.962754  5.0  0.9627539647  0.6896579  3.39
"1959-07-01" 5.964753  5.1  0.8647531246  1.0327114  3.47
"1959-08-01" 5.965583  5.2  0.7655831998  1.0327114  3.50
"1959-09-01" 5.965263  5.5  0.4652633194  1.3745921  3.76
"1959-10-01" 5.963814  5.7  0.2638136511  1.7153079  3.98
"1959-11-01" 5.961255  5.8  0.1612553465  1.3698844  4.00
"1959-12-01" 5.957610  5.3  0.6576104884  1.3698844  3.99
"1960-01-01" 5.952902  5.2  0.7529020385  1.3698844  3.99
"1960-02-01" 5.947154  4.8  1.1471537865  1.3698844  3.97
"1960-03-01" 5.940390  5.4  0.5403903004  1.3698844  3.84
"1960-04-01" 5.932637  5.2  0.7326368778  1.7094433  3.92
"1960-05-01" 5.923919  5.1  0.8239194986  2.0478531  3.85
"1960-06-01" 5.914265  5.4  0.5142647779  1.7036187  3.32
"1960-07-01" 5.903700  5.5  0.4036999212  1.3605652  3.23
"1960-08-01" 5.892253  5.6  0.2922526799  1.3605652  2.98
"1960-09-01" 5.879951  5.5  0.3799513078  1.0186845  2.60
"1960-10-01" 5.866825  6.1 -0.2331754812  1.3513719  2.47
"1960-11-01" 5.852901  6.1 -0.2470985538  1.3513719  2.44
"1960-12-01" 5.838212  6.6 -0.7617883982  1.3513719  1.98
"1961-01-01" 5.822785  6.6 -0.7772151631  1.3513719  1.45
"1961-02-01" 5.806651  6.9 -1.0933486958  1.3513719  2.54
"1961-03-01" 5.789841  6.9 -1.1101585796  1.3513719  2.02
"1961-04-01" 5.772386  7.0 -1.2276141703  1.0118130  1.49
"1961-05-01" 5.754315  7.1 -1.3456846311  0.6734032  1.98
"1961-06-01" 5.735661  6.9 -1.1643389676  0.6734032  1.73
"1961-07-01" 5.716454  7.0 -1.2835460609  1.0084119  1.17
"1961-08-01" 5.696725  6.6 -0.9032747002  1.0084119  2.00
"1961-09-01" 5.676506  6.7 -1.0234936149  1.3423020  1.88
"1961-10-01" 5.655828  6.5 -0.8441715048  0.6688988  2.26
"1961-11-01" 5.634723  6.1 -0.4652770705  0.6688988  2.61
"1961-12-01" 5.613221  6.0 -0.3867790422  0.6688988  2.33
"1962-01-01" 5.591354  5.8 -0.2086462079  0.6688988  2.15
"1962-02-01" 5.569153  5.5  0.0691525591  1.0016778  2.37
"1962-03-01" 5.546648  5.6 -0.0533517261  1.3333531  2.85
"1962-04-01" 5.523872  5.6 -0.0761281859  1.3333531  2.78
"1962-05-01" 5.500854  5.5  0.0008538952  1.3333531  2.36
"1962-06-01" 5.477625  5.5 -0.0223749539  1.3333531  2.68
"1962-07-01" 5.454216  5.4  0.0542155863  0.9983444  2.71
"1962-08-01" 5.430656  5.7 -0.2693443970  1.3289232  2.93
"1962-09-01" 5.406975  5.6 -0.1930250702  1.3245227  2.90
"1962-10-01" 5.383203  5.4 -0.0167968749  1.3245227  2.90
"1962-11-01" 5.359369  5.7 -0.3406305475  1.3245227  2.94
"1962-12-01" 5.335503  5.5 -0.1644971392  1.3245227  2.93
"1963-01-01" 5.311632  5.7 -0.3883680343  1.3245227  2.92
"1963-02-01" 5.287785  5.9 -0.6122149687  1.3201512  3.00
"1963-03-01" 5.263990  5.7 -0.4360100470  0.9884759  2.98
"1963-04-01" 5.240274  5.7 -0.4597257593  0.9884759  2.90
"1963-05-01" 5.216665  5.9 -0.6833349969  0.9884759  3.00
"1963-06-01" 5.193189  5.6 -0.4068110680  1.3158085  2.99
"1963-07-01" 5.169872  5.6 -0.4301277120  1.6420730  3.02
"1963-08-01" 5.146741  5.4 -0.2532591138  1.6366977  3.49
"1963-09-01" 5.123820  5.5 -0.3761799168  0.9820046  3.48
"1963-10-01" 5.101135  5.5 -0.3988652360  1.3072082  3.50
"1963-11-01" 5.078709  5.7 -0.6212906696  1.3072082  3.48
"1963-12-01" 5.056568  5.5 -0.4434323110  1.6313575  3.38
"1964-01-01" 5.034733  5.6 -0.5652667593  1.6313575  3.48
"1964-02-01" 5.013229  5.4 -0.3867711300  1.3029500  3.48
"1964-03-01" 4.992077  5.4 -0.4079230641  1.3029500  3.43
"1964-04-01" 4.971299  5.3 -0.3287007378  1.6260521  3.47
"1964-05-01" 4.950917  5.1 -0.1490828707  1.6260521  3.50
"1964-06-01" 4.930951  5.2 -0.2690487340  1.2987196  3.50
"1964-07-01" 4.911422  4.9  0.0114218420  0.9724550  3.42
"1964-08-01" 4.892348  5.0 -0.1076515388  0.9693129  3.50
"1964-09-01" 4.873750  5.1 -0.2262498451  1.2945165  3.45
"1964-10-01" 4.855645  5.1 -0.2443546235  0.9693129  3.36
"1964-11-01" 4.838052  4.8  0.0380519953  1.2903405  3.52
"1964-12-01" 4.820987  5.0 -0.1790127076  1.2861914  3.85
"1965-01-01" 4.804468  4.9 -0.0955320442  1.2861914  3.90
"1965-02-01" 4.788510  5.1 -0.3114899234  1.2861914  3.98
"1965-03-01" 4.773129  4.7  0.0731291457  1.2861914  4.04
"1965-04-01" 4.758340  4.8 -0.0416599494  1.2820688  4.09
"1965-05-01" 4.744157  4.6  0.1441570729  1.6000341  4.10
"1965-06-01" 4.730594  4.6  0.1305938862  1.9169916  4.04
"1965-07-01" 4.717664  4.4  0.3176635547  1.9169916  4.09
"1965-08-01" 4.705379  4.4  0.3053785314  1.5949301  4.12
"1965-09-01" 4.693751  4.3  0.3937506578  1.5949301  4.01
"1965-10-01" 4.682791  4.2  0.4827911633  1.9108862  4.08
"1965-11-01" 4.672511  4.1  0.5725106651  1.9048195  4.10
"1965-12-01" 4.662919  4.0  0.6629191688  1.8987912  4.32
"1966-01-01" 4.654026  4.0  0.6540260687  1.8987912  4.42
"1966-02-01" 4.645840  3.8  0.8458401496  2.5237933  4.60
"1966-03-01" 4.638370  3.8  0.8383695877  2.8348355  4.65
"1966-04-01" 4.631622  3.8  0.8316219528  2.8259337  4.67
"1966-05-01" 4.625604  3.9  0.7256042105  2.8170877  4.90
"1966-06-01" 4.620323  3.8  0.8203227243  2.5001302  5.17
"1966-07-01" 4.615783  3.8  0.8157832593  2.8082969  5.30
